,AIRPORT,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME
0,01A,58.10944444,-152.90666667,Afognak Lake Airport
1,03A,65.54805556,-161.07166667,Bear Creek Mining Strip
2,04A,68.08333333,-163.16666667,Lik Mining Camp
3,05A,67.57,-148.18388889,Little Squaw Airport
4,06A,57.74527778,-152.88277778,Kizhuyak Bay
5,07A,55.55472222,-133.10166667,Klawock Seaplane Base
6,08A,59.15694444,-151.82916667,Elizabeth Island Airport
7,09A,59.36277778,-153.43055556,Augustin Island
9,1B1,42.29138889,-73.71027778,Columbia County
11,1G4,35.98611111,-113.81694444,Grand Canyon West
12,1N7,40.97111111,-74.9975,Blairstown Airport
13,8F3,33.62388889,-101.24083333,Crosbyton Municipal
15,A01,64.36361111,-147.36388889,Blair Lake
16,A02,57.06666667,-153.93777778,Deadmans Bay Airport
17,A03,58.4575,-154.02333333,Hallo Bay Airport
18,A04,57.27722222,-154.34222222,Red Lake Airport
19,A05,61.96388889,-151.55583333,Shell Lake Airport
20,A06,65.65555556,-165.35638889,Navigator Airstrip
22,A07,66.76611111,-160.15277778,Roland Norton Memorial
23,A08,56.59805556,-134.24277778,Pillar Bay Airport
26,A09,60.48166667,-146.58416667,Johnstone Point Airport
28,KTH,59.95555556,-158.48055556,Tikchik Lodge Airport
29,A11,60.78388889,-159.54027778,Bell Creek Airport
30,A12,60.78527778,-158.86444444,Cinnabar Airport
31,A13,61.39027778,-157.99555556,Mountaintop Mine Airport
32,A14,61.18888889,-159.85833333,Whitebear Airport
35,A16,70.74694444,-155.36083333,Arley Lake Airport
36,A17,58.06555556,-153.0725,Port Vita Airport
37,A18,63.54166667,-150.99388889,Kantishna Airport
38,A20,70.34416667,-150.94472222,Alpine Airstrip
39,A21,65.85138889,-164.70277778,Serpentine Airport
40,A22,53.97277778,-166.85694444,Driftwood Bay Airport
41,A23,59.77611111,-151.96361111,Bradley Lake Airport
42,A24,59.33166667,-135.89666667,Chilkat Lake Airport
43,A25,59.28833333,-136.17388889,Nugget Creek Airport
44,A26,68.48333333,-155.73333333,Ivotuk Airstrip
45,A27,64.44,-144.93638889,Pogo Mines Airport
46,A28,57.25388889,-154.42222222,Ayakulik River Airport
47,A29,57.32305556,-153.14944444,Kiluda Bay Airport
48,A30,57.96388889,-153.05833333,Terror Lake Airport
49,A31,58.98277778,-153.18333333,Selief Bay Airport
50,A34,58.36194444,-152.31222222,Laura Lake Airport
51,A36,55.56027778,-131.65555556,Deep Bay Airport
53,A37,61.89888889,-161.43972222,Kako Airport
54,A38,64.09722222,-143.26666667,Molly Creek Airport
55,A39,61.86611111,-141.15972222,Ptarmigan Lake Airport
56,A40,71.05694444,-154.72833333,Cape Simpson Airport
59,A42,70.35833333,-153.19666667,Teshepkuk Lake Airport
60,A43,57.78083333,-152.39111111,Trident Basin Seaplane Base
61,A45,57.81666667,-134.58333333,Lake Florence Airport
62,A46,57.7,-134.26666667,Lake Hasselborg Airport
63,A47,57.61666667,-134.36666667,Distin Lake Airport
64,A48,57.15,-153.15,Port Hobron Airport
65,A49,70.28444444,-152.21194444,Mooseville Airstrip Airport
66,A50,58.5625,-152.59611111,Big Bay Airport
67,A51,64.35277778,-151.275,Wien Lake Airport
68,A52,59.96388889,-152.68222222,Silver Salmon Creek Airport
69,A53,64.33333333,-147.5,Blear Lake Airport
70,A54,53.68333333,-166.75,Cannery Bay Airport
71,A56,56.03666667,-160.26611111,Johnsons Landing
73,A57,58.26666667,-157.53333333,International Seafoods Airport
74,A58,64.5,-151.66666667,Cosna River Airport
75,A59,68.48777778,-155.7575,Ivatuk Airport
77,A61,54.5825,-164.91444444,Cape Sarichef Airport
78,A62,60.86777778,-157.39194444,Taylor Mountain
80,A63,65.31138889,-143.13555556,Coal Creek
81,A65,57.53833333,-154.16444444,Karluk Portage Airport
84,A66,60.90722222,-149.62277778,Hope Airport
85,A67,57.84944444,-153.11527778,Viekoda Bay Airport
86,A69,55.74,-162.12527778,Cathedral Strip
87,A70,57.77416667,-153.54472222,Village Islands Airport
88,A71,59.73833333,-151.03,Bear Cove Farm
89,A72,59.83333333,-152.58472222,Chinitna Bay Airport
90,A73,63.7325,-148.91055556,McKinley National Park
91,A74,59.24111111,-151.87722222,Dog Fish Bay
92,A75,58.17194444,-152.89416667,Malina Bay Airport
93,A76,58.46444444,-152.59305556,Red Fox Bay Airport
94,A77,57.34333333,-152.89722222,Shearwater Airport
95,A78,71.03,-154.44361111,Lake
96,A79,71.50166667,-154.03388889,Cape Simpson No. 1
97,A80,70.57388889,-155.32138889,Cape Simpson No. 7
98,A81,70.66277778,-154.83666667,Cape Simpson #1
99,A82,60.69027778,-151.28888889,Nikiski Private Airstrip
100,A83,59.37638889,-150.765,Petrof Point Airport
101,A84,63.75555556,-147.93,Denali West Lodge Private
102,A85,61.85944444,-154.27666667,Big River Airport
103,A87,58.58305556,-152.44583333,Carry Inlet Airport
104,A89,59.925,-147.51666667,Montague Island Airport
105,A90,59.03916667,-158.46388889,Shannon Pond Airport
106,A91,69.15555556,-163.49722222,Omalik Lagoon Airport
107,A92,69.14805556,-163.51027778,Omolik Lagoon Airport
108,A93,59.79166667,-151.26666667,Bradley Lake Project Airport
109,A94,70.57416667,-155.31805556,Ice Strip
110,A95,70.31194444,-153.24916667,Ice Strip
111,A96,70.98083333,-157.095,Ice Strip
112,A97,68.98555556,-163.47972222,Akulik Air Strip
113,A98,69.17083333,-163.25638889,Deadfall Air Strip
114,A99,68.67666667,-162.64694444,Eagle Creek Airport
115,AA1,59.95277778,-162.61694444,Ice Kong
116,AA4,59.63333333,-151.20833333,Glacier Split
117,AA5,66.95583333,-155.615,Selby Lake Airport
126,AAF,29.7275,-85.0275,Apalachicola Regional Cleve Randolph Field
156,ABE,40.65222222,-75.44055556,Lehigh Valley International
159,ABI,32.41138889,-99.68194444,Abilene Regional
166,ABL,67.0875,-157.84583333,Ambler River
169,ABQ,35.03888889,-106.60833333,Albuquerque International Sunport
