,UNIQUE_CARRIER,ORIGIN,ORIGIN_WAC,DEST,DEST_WAC,FLIGHTS,AIRLINE
0,AA,ABI,74,DFW,74,245.0,American Airlines Inc.
1,AA,ABQ,86,DFW,74,157.0,American Airlines Inc.
2,AA,ABQ,86,LAX,91,8.0,American Airlines Inc.
3,AA,ABQ,86,ORD,41,33.0,American Airlines Inc.
4,AA,ABQ,86,PHX,81,10.0,American Airlines Inc.
5,AA,ACT,74,DFW,74,155.0,American Airlines Inc.
6,AA,AEX,72,DFW,74,93.0,American Airlines Inc.
7,AA,ALB,22,CLT,36,62.0,American Airlines Inc.
8,AA,ALO,61,ORD,41,58.0,American Airlines Inc.
9,AA,AMA,74,DFW,74,161.0,American Airlines Inc.
10,AA,ANC,1,PHX,81,25.0,American Airlines Inc.
11,AA,ASE,82,DFW,74,59.0,American Airlines Inc.
12,AA,ASE,82,LAX,91,31.0,American Airlines Inc.
13,AA,ATL,34,CLT,36,248.0,American Airlines Inc.
14,AA,ATL,34,DFW,74,300.0,American Airlines Inc.
15,AA,ATL,34,LAX,91,81.0,American Airlines Inc.
16,AA,ATL,34,LGA,22,122.0,American Airlines Inc.
17,AA,ATL,34,MIA,33,113.0,American Airlines Inc.
18,AA,ATL,34,ORD,41,7.0,American Airlines Inc.
19,AA,ATL,34,PHL,23,144.0,American Airlines Inc.
20,AA,ATL,34,PHX,81,108.0,American Airlines Inc.
21,AA,AUS,74,CLT,36,28.0,American Airlines Inc.
22,AA,AUS,74,DFW,74,423.0,American Airlines Inc.
23,AA,AUS,74,JFK,22,31.0,American Airlines Inc.
24,AA,AUS,74,LAX,91,124.0,American Airlines Inc.
25,AA,AUS,74,MIA,33,27.0,American Airlines Inc.
26,AA,AUS,74,ORD,41,93.0,American Airlines Inc.
27,AA,AUS,74,PHL,23,25.0,American Airlines Inc.
28,AA,AUS,74,PHX,81,28.0,American Airlines Inc.
29,AA,AZO,43,ORD,41,120.0,American Airlines Inc.
30,AA,BDL,11,CLT,36,138.0,American Airlines Inc.
31,AA,BDL,11,DFW,74,62.0,American Airlines Inc.
32,AA,BDL,11,MIA,33,32.0,American Airlines Inc.
33,AA,BDL,11,ORD,41,28.0,American Airlines Inc.
34,AA,BHM,51,DFW,74,93.0,American Airlines Inc.
35,AA,BHM,51,MIA,33,57.0,American Airlines Inc.
36,AA,BIS,66,DFW,74,31.0,American Airlines Inc.
37,AA,BIS,66,ORD,41,31.0,American Airlines Inc.
38,AA,BMI,41,DFW,74,62.0,American Airlines Inc.
39,AA,BMI,41,ORD,41,89.0,American Airlines Inc.
40,AA,BNA,54,CLT,36,111.0,American Airlines Inc.
41,AA,BNA,54,DFW,74,248.0,American Airlines Inc.
42,AA,BNA,54,JFK,22,31.0,American Airlines Inc.
43,AA,BNA,54,LAX,91,62.0,American Airlines Inc.
44,AA,BNA,54,LGA,22,144.0,American Airlines Inc.
45,AA,BNA,54,ORD,41,185.0,American Airlines Inc.
46,AA,BOI,83,PHX,81,63.0,American Airlines Inc.
47,AA,BOS,13,CLT,36,279.0,American Airlines Inc.
48,AA,BOS,13,DCA,38,451.0,American Airlines Inc.
49,AA,BOS,13,DFW,74,185.0,American Airlines Inc.
50,AA,BOS,13,JFK,22,124.0,American Airlines Inc.
51,AA,BOS,13,LAX,91,114.0,American Airlines Inc.
52,AA,BOS,13,LGA,22,386.0,American Airlines Inc.
53,AA,BOS,13,MIA,33,217.0,American Airlines Inc.
54,AA,BOS,13,ORD,41,239.0,American Airlines Inc.
55,AA,BOS,13,PHL,23,359.0,American Airlines Inc.
56,AA,BOS,13,PHX,81,108.0,American Airlines Inc.
57,AA,BPT,74,DFW,74,93.0,American Airlines Inc.
58,AA,BRO,74,DFW,74,124.0,American Airlines Inc.
59,AA,BTR,72,DFW,74,240.0,American Airlines Inc.
60,AA,BUF,22,CLT,36,115.0,American Airlines Inc.
61,AA,BUF,22,ORD,41,59.0,American Airlines Inc.
62,AA,BWI,35,CLT,36,269.0,American Airlines Inc.
63,AA,BWI,35,DFW,74,119.0,American Airlines Inc.
64,AA,BWI,35,JFK,22,31.0,American Airlines Inc.
65,AA,BWI,35,MIA,33,93.0,American Airlines Inc.
66,AA,BWI,35,ORD,41,31.0,American Airlines Inc.
67,AA,BWI,35,PHX,81,77.0,American Airlines Inc.
68,AA,CAE,37,DFW,74,93.0,American Airlines Inc.
69,AA,CHA,54,DFW,74,58.0,American Airlines Inc.
70,AA,CHA,54,ORD,41,33.0,American Airlines Inc.
71,AA,CHO,38,LGA,22,31.0,American Airlines Inc.
72,AA,CHO,38,ORD,41,8.0,American Airlines Inc.
73,AA,CHS,37,DFW,74,61.0,American Airlines Inc.
74,AA,CHS,37,MIA,33,62.0,American Airlines Inc.
75,AA,CID,61,DFW,74,124.0,American Airlines Inc.
76,AA,CID,61,ORD,41,154.0,American Airlines Inc.
77,AA,CLE,44,CLT,36,110.0,American Airlines Inc.
78,AA,CLE,44,DFW,74,96.0,American Airlines Inc.
79,AA,CLE,44,EWR,21,1.0,American Airlines Inc.
80,AA,CLE,44,JFK,22,31.0,American Airlines Inc.
81,AA,CLE,44,LGA,22,8.0,American Airlines Inc.
82,AA,CLE,44,MIA,33,2.0,American Airlines Inc.
83,AA,CLE,44,ORD,41,124.0,American Airlines Inc.
84,AA,CLE,44,PHL,23,26.0,American Airlines Inc.
85,AA,CLE,44,PHX,81,31.0,American Airlines Inc.
86,AA,CLL,74,DFW,74,155.0,American Airlines Inc.
87,AA,CLT,36,ALB,22,62.0,American Airlines Inc.
88,AA,CLT,36,ATL,34,248.0,American Airlines Inc.
89,AA,CLT,36,AUS,74,28.0,American Airlines Inc.
90,AA,CLT,36,BDL,11,138.0,American Airlines Inc.
91,AA,CLT,36,BNA,54,111.0,American Airlines Inc.
92,AA,CLT,36,BOS,13,279.0,American Airlines Inc.
93,AA,CLT,36,BUF,22,115.0,American Airlines Inc.
94,AA,CLT,36,BWI,35,269.0,American Airlines Inc.
95,AA,CLT,36,CLE,44,111.0,American Airlines Inc.
96,AA,CLT,36,DCA,38,238.0,American Airlines Inc.
97,AA,CLT,36,DEN,82,155.0,American Airlines Inc.
98,AA,CLT,36,DFW,74,391.0,American Airlines Inc.
99,AA,CLT,36,DTW,43,169.0,American Airlines Inc.
100,AA,CLT,36,EWR,21,279.0,American Airlines Inc.
101,AA,CLT,36,FLL,33,248.0,American Airlines Inc.
102,AA,CLT,36,IAH,74,243.0,American Airlines Inc.
103,AA,CLT,36,IND,42,53.0,American Airlines Inc.
104,AA,CLT,36,JAX,33,205.0,American Airlines Inc.
105,AA,CLT,36,JFK,22,181.0,American Airlines Inc.
106,AA,CLT,36,LAS,85,153.0,American Airlines Inc.
107,AA,CLT,36,LAX,91,185.0,American Airlines Inc.
108,AA,CLT,36,LGA,22,301.0,American Airlines Inc.
109,AA,CLT,36,MCI,64,115.0,American Airlines Inc.
110,AA,CLT,36,MCO,33,279.0,American Airlines Inc.
111,AA,CLT,36,MDT,23,24.0,American Airlines Inc.
112,AA,CLT,36,MEM,54,87.0,American Airlines Inc.
113,AA,CLT,36,MIA,33,279.0,American Airlines Inc.
114,AA,CLT,36,MSP,63,120.0,American Airlines Inc.
115,AA,CLT,36,MSY,72,150.0,American Airlines Inc.
116,AA,CLT,36,MYR,37,4.0,American Airlines Inc.
117,AA,CLT,36,ORD,41,330.0,American Airlines Inc.
118,AA,CLT,36,ORF,38,7.0,American Airlines Inc.
119,AA,CLT,36,PBI,33,183.0,American Airlines Inc.
120,AA,CLT,36,PDX,92,22.0,American Airlines Inc.
121,AA,CLT,36,PHL,23,289.0,American Airlines Inc.
122,AA,CLT,36,PHX,81,277.0,American Airlines Inc.
123,AA,CLT,36,PIT,23,249.0,American Airlines Inc.
124,AA,CLT,36,PVD,15,107.0,American Airlines Inc.
125,AA,CLT,36,PWM,12,31.0,American Airlines Inc.
126,AA,CLT,36,RDU,36,162.0,American Airlines Inc.
127,AA,CLT,36,RIC,38,112.0,American Airlines Inc.
128,AA,CLT,36,ROC,22,31.0,American Airlines Inc.
129,AA,CLT,36,RSW,33,216.0,American Airlines Inc.
130,AA,CLT,36,SAN,91,62.0,American Airlines Inc.
