"SYS_FIELD_NAME"," FIELD_DESC",
"FL_DATE","Flight Date (yyyymmdd)",
"UNIQUE_CARRIER","Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",
"TAIL_NUM","Tail Number",
"FL_NUM","Flight Number",
"ORIGIN","Origin Airport",
"ORIGIN_WAC","Origin Airport, World Area Code",
"DEST","Destination Airport",
"DEST_WAC","Destination Airport, World Area Code",
"CANCELLED","Cancelled Flight Indicator (1=Yes)",
"CANCELLATION_CODE","Specifies The Reason For Cancellation",
"DIVERTED","Diverted Flight Indicator (1=Yes)",
"ACTUAL_ELAPSED_TIME","Elapsed Time of Flight, in Minutes",
"FLIGHTS","Number of Flights",
"CARRIER_DELAY","Carrier Delay, in Minutes",
"WEATHER_DELAY","Weather Delay, in Minutes",
"NAS_DELAY","National Air System Delay, in Minutes",
"SECURITY_DELAY","Security Delay, in Minutes",
"LATE_AIRCRAFT_DELAY","Late Aircraft Delay, in Minutes",
"DIV_AIRPORT_LANDINGS","Number of Diverted Airport Landings",
"DIV_REACHED_DEST","Diverted Flight Reaching Scheduled Destination Indicator (1=Yes)",
"DIV_ACTUAL_ELAPSED_TIME","Elapsed Time of Diverted Flight Reaching Scheduled Destination, in Minutes.  The ActualElapsedTime column remains NULL for all diverted flights.",
