FLIGHTS,AIRPORT,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME
431.0,ABE,40.65222222,-75.44055556,Lehigh Valley International
489.0,ABI,32.41138889,-99.68194444,Abilene Regional
3150.0,ABQ,35.03888889,-106.60833333,Albuquerque International Sunport
124.0,ABR,45.44833333,-98.4225,Aberdeen Regional
176.0,ABY,31.53555556,-84.19444444,Southwest Georgia Regional
310.0,ACT,31.61222222,-97.23027778,Waco Regional
202.0,ACV,40.97777778,-124.10833333,Arcata
721.0,ACY,39.4575,-74.57722222,Atlantic City International
18.0,ADK,51.87805556,-176.64611111,Adak
62.0,ADQ,57.75,-152.49388889,Kodiak Airport
602.0,AEX,31.3275,-92.54861111,Alexandria International
458.0,AGS,33.37,-81.96444444,Augusta Regional at Bush Field
1370.0,ALB,42.74916667,-73.80194444,Albany International
116.0,ALO,42.55694444,-92.40027778,Waterloo Regional
970.0,AMA,35.21944444,-101.70583333,Rick Husband Amarillo International
2417.0,ANC,61.17416667,-149.99805556,Ted Stevens Anchorage International
106.0,APN,45.07805556,-83.56027778,Alpena County Regional
1492.0,ASE,39.22194444,-106.86833333,Aspen Pitkin County Sardy Field
65121.0,ATL,33.63666667,-84.42777778,Hartsfield-Jackson Atlanta International
570.0,ATW,44.25805556,-88.51916667,Outagamie County Regional
7496.0,AUS,30.19444444,-97.67,Austin - Bergstrom International
469.0,AVL,35.43611111,-82.54194444,Asheville Regional
185.0,AVP,41.33833333,-75.72333333,Wilkes Barre Scranton International
387.0,AZO,42.23444444,-85.55166667,Kalamazoo/Battle Creek International
3361.0,BDL,41.93916667,-72.68333333,Bradley International
168.0,BET,60.77861111,-161.83722222,Bethel Airport
356.0,BFL,35.43388889,-119.05777778,Meadows Field
1.0,BGR,44.8075,-68.82805556,Bangor International
2412.0,BHM,33.56388889,-86.75222222,Birmingham-Shuttlesworth International
501.0,BIL,45.80777778,-108.54277778,Billings Logan International
596.0,BIS,46.77277778,-100.74583333,Bismarck Municipal
124.0,BJI,47.51083333,-94.93472222,Bemidji Regional
214.0,BLI,48.79277778,-122.5375,Bellingham International
534.0,BMI,40.47722222,-88.91583333,Central Illinois Regional
8921.0,BNA,36.12444444,-86.67805556,Nashville International
1925.0,BOI,43.56444444,-116.22277778,Boise Air Terminal
19690.0,BOS,42.36305556,-71.00638889,Logan International
186.0,BPT,29.95083333,-94.02055556,Jack Brooks Regional
160.0,BQK,31.25916667,-81.46638889,Brunswick Golden Isles
106.0,BRD,46.40416667,-94.13361111,Brainerd Lakes Regional
486.0,BRO,25.90694444,-97.42583333,Brownsville South Padre Island International
160.0,BRW,71.28472222,-156.76861111,Wiley Post/Will Rogers Memorial
124.0,BTM,45.95472222,-112.4975,Bert Mooney
1409.0,BTR,30.53277778,-91.15,Baton Rouge Metropolitan/Ryan Field
477.0,BTV,44.47194444,-73.15333333,Burlington International
3132.0,BUF,42.94055556,-78.73055556,Buffalo Niagara International
3514.0,BUR,34.20055556,-118.35861111,Bob Hope
15401.0,BWI,39.17527778,-76.66833333,Baltimore/Washington International Thurgood Marshall
599.0,BZN,45.7775,-111.15194444,Bozeman Yellowstone International
1030.0,CAE,33.93888889,-81.11944444,Columbia Metropolitan
1336.0,CAK,40.915,-81.44361111,Akron-Canton Regional
106.0,CDC,37.70083333,-113.09888889,Cedar City Regional
124.0,CDV,60.49166667,-145.4775,Merle K Mudhole Smith
124.0,CEC,41.78027778,-124.23666667,Jack McNamara Field
763.0,CHA,35.03527778,-85.20361111,Lovell Field
310.0,CHO,38.13861111,-78.45277778,Charlottesville Albemarle
2061.0,CHS,32.89861111,-80.04055556,Charleston AFB/International
1296.0,CID,41.88472222,-91.71083333,The Eastern Iowa
116.0,CIU,46.25083333,-84.4725,Chippewa County International
418.0,CLD,33.12833333,-117.28,McClellan-Palomar
6296.0,CLE,41.40944444,-81.85472222,Cleveland-Hopkins International
426.0,CLL,30.58861111,-96.36388889,Easterwood Field
18560.0,CLT,35.21361111,-80.94916667,Charlotte Douglas International
4814.0,CMH,39.99694444,-82.89222222,Port Columbus International
371.0,CMI,40.03888889,-88.27777778,University of Illinois/Willard
122.0,CMX,47.16833333,-88.48916667,Houghton County Memorial
106.0,CNY,38.755,-109.75472222,Canyonlands Field
124.0,COD,44.52027778,-109.02388889,Yellowstone Regional
1281.0,COS,38.80583333,-104.70083333,City of Colorado Springs Municipal
248.0,COU,38.81805556,-92.21972222,Columbia Regional
398.0,CPR,42.90583333,-106.46361111,Casper/Natrona County International
1183.0,CRP,27.77111111,-97.50111111,Corpus Christi International
474.0,CRW,38.37583333,-81.59305556,Yeager
222.0,CSG,32.51638889,-84.93888889,Columbus Airport
3751.0,CVG,39.04888889,-84.66777778,Cincinnati/Northern Kentucky International
288.0,CWA,44.7775,-89.66666667,Central Wisconsin
310.0,DAB,29.18,-81.05805556,Daytona Beach International
10271.0,DAL,32.84722222,-96.85166667,Dallas Love Field
1638.0,DAY,39.90222222,-84.21944444,James M Cox/Dayton International
168.0,DBQ,42.40194444,-90.70944444,Dubuque Regional
13941.0,DCA,38.85194444,-77.03777778,Ronald Reagan Washington National
37226.0,DEN,39.86166667,-104.67305556,Denver International
46314.0,DFW,32.89722222,-97.03777778,Dallas/Fort Worth International
240.0,DHN,31.32111111,-85.44944444,Dothan Regional
276.0,DIK,46.79722222,-102.80194444,Dickinson - Theodore Roosevelt Regional
210.0,DLH,46.84194444,-92.19361111,Duluth International
239.0,DRO,37.15138889,-107.75388889,Durango La Plata County
1627.0,DSM,41.53388889,-93.66305556,Des Moines International
20588.0,DTW,42.2125,-83.35333333,Detroit Metro Wayne County
97.0,DVL,48.11666667,-98.91,Devils Lake Regional
125.0,EAU,44.86583333,-91.48416667,Chippewa Valley Regional
828.0,ECP,30.35833333,-85.79555556,Northwest Florida Beaches International
580.0,EGE,39.64277778,-106.91583333,Eagle County Regional
116.0,EKO,40.825,-115.79138889,Elko Regional
380.0,ELM,42.15972222,-76.89194444,Elmira/Corning Regional
2198.0,ELP,31.80722222,-106.37638889,El Paso International
136.0,ERI,42.08305556,-80.17388889,Erie International/Tom Ridge Field
106.0,ESC,45.72277778,-87.09361111,Delta County
548.0,EUG,44.12444444,-123.21194444,Mahlon Sweet Field
666.0,EVV,38.04083333,-87.52861111,Evansville Regional
98.0,EWN,35.07277778,-77.04305556,Coastal Carolina Regional
18799.0,EWR,40.6925,-74.16861111,Newark Liberty International
440.0,EYW,24.55611111,-81.75944444,Key West International
344.0,FAI,64.815,-147.85638889,Fairbanks International
1022.0,FAR,46.92055556,-96.81583333,Hector International
1006.0,FAT,36.77666667,-119.71888889,Fresno Yosemite International
284.0,FAY,34.99111111,-78.88027778,Fayetteville Regional/Grannis Field
308.0,FCA,48.31055556,-114.25611111,Glacier Park International
15001.0,FLL,26.07166667,-80.14972222,Fort Lauderdale-Hollywood International
895.0,FNT,42.96555556,-83.74361111,Bishop International
1068.0,FSD,43.58194444,-96.74194444,Joe Foss Field
408.0,FSM,35.33666667,-94.3675,Fort Smith Regional
1039.0,FWA,40.97833333,-85.19527778,Fort Wayne International
186.0,GCC,44.34888889,-105.53944444,Gillette Campbell County
124.0,GCK,37.9275,-100.72444444,Garden City Regional
1819.0,GEG,47.61916667,-117.53527778,Spokane International
6.0,GFK,47.94722222,-97.17388889,Grand Forks International
124.0,GGG,32.38388889,-94.71138889,East Texas Regional
400.0,GJT,39.1225,-108.52666667,Grand Junction Regional
539.0,GNV,29.69,-82.27166667,Gainesville Regional
773.0,GPT,30.40722222,-89.07,Gulfport-Biloxi International
1070.0,GRB,44.48472222,-88.12972222,Austin Straubel International
124.0,GRI,40.9675,-98.30972222,Central Nebraska Regional
797.0,GRK,31.06722222,-97.82888889,Robert Gray AAF
2146.0,GRR,42.88083333,-85.52277778,Gerald R. Ford International
1486.0,GSO,36.10138889,-79.94111111,Piedmont Triad International
1245.0,GSP,34.89555556,-82.21888889,Greenville-Spartanburg International
292.0,GTF,47.48277778,-111.37055556,Great Falls International
178.0,GTR,33.44833333,-88.59138889,Golden Triangle Regional
221.0,GUC,38.53388889,-106.93305556,Gunnison-Crested Butte Regional
